,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
200.0,Maruti Dzire ZDI,Coimbatore,2014.0,64917.0,Diesel,Manual,First,28.4,1248.0,73.75,5.0,8.95
201.0,Honda City i VTEC V,Jaipur,2017.0,19678.0,Petrol,Manual,First,17.8,1497.0,117.3,5.0,nan
202.0,Jaguar XF Diesel,Kolkata,2014.0,12000.0,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,nan
203.0,BMW 3 Series 320d Luxury Line,Delhi,2014.0,41309.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,nan
204.0,BMW 3 Series Luxury Line,Coimbatore,2018.0,25038.0,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,62.07
205.0,Chevrolet Beat Diesel LS,Coimbatore,2016.0,68673.0,Diesel,Manual,First,25.44,936.0,56.3,5.0,nan
206.0,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018.0,26343.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,nan
207.0,Maruti Omni E 8 Str STD,Bangalore,2005.0,81245.0,Petrol,Manual,Fourth & Above,16.8,796.0,34.2,8.0,nan
208.0,Nissan Micra Diesel XV,Delhi,2012.0,62100.0,Diesel,Manual,First,23.08,1461.0,63.1,5.0,nan
209.0,Volkswagen Vento Petrol Highline,Pune,2013.0,104000.0,Petrol,Manual,First,15.04,1598.0,103.6,5.0,nan
210.0,Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014.0,114831.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,nan
211.0,Fiat Linea Dynamic,Mumbai,2010.0,46000.0,Petrol,Manual,First,14.6,1368.0,88.7,5.0,nan
212.0,Hyundai Verna 1.6 SX,Jaipur,2014.0,80000.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,nan
213.0,Hyundai i20 Active 1.2 S,Kolkata,2016.0,9201.0,Petrol,Manual,First,17.19,1197.0,81.86,5.0,nan
214.0,Honda Brio V MT,Kochi,2013.0,55311.0,Petrol,Manual,First,19.4,1198.0,86.8,5.0,nan
215.0,Honda Mobilio RS Option i DTEC,Coimbatore,2015.0,58217.0,Diesel,Manual,First,24.5,1498.0,98.6,7.0,nan
216.0,Mitsubishi Pajero Sport 4X4,Delhi,2013.0,70655.0,Diesel,Manual,First,13.5,2477.0,175.56,7.0,31.93
217.0,Hyundai i10 Magna,Kolkata,2015.0,46000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,nan
218.0,Tata Manza Club Class Quadrajet90 LS,Pune,2014.0,125000.0,Diesel,Manual,First,21.02,1248.0,88.8,5.0,nan
219.0,Renault Duster Adventure Edition,Mumbai,2014.0,59000.0,Diesel,Manual,First,19.01,1461.0,108.45,5.0,nan
220.0,Hyundai Verna CRDi 1.6 AT SX Plus,Mumbai,2013.0,66000.0,Diesel,Automatic,Second,22.0,1582.0,126.2,5.0,15.88
221.0,Maruti Ritz VDi,Hyderabad,2009.0,82242.0,Diesel,Manual,First,21.1,1248.0,73.9,5.0,nan
222.0,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2012.0,107281.0,Diesel,Manual,First,12.8,2494.0,102.0,8.0,nan
223.0,Tata Sumo EX 10/7 Str BSII,Chennai,2015.0,196000.0,Diesel,Manual,Second,12.2,1948.0,68.0,10.0,nan
224.0,Audi Q3 35 TDI Quattro Premium Plus,Ahmedabad,2015.0,75000.0,Diesel,Automatic,First,15.17,1968.0,181.0,5.0,43.65
225.0,Fiat Grande Punto 1.2 Emotion,Kolkata,2011.0,11791.0,Petrol,Manual,First,16.2,1172.0,68.0,5.0,nan
226.0,Hyundai Elantra SX,Ahmedabad,2013.0,46000.0,Petrol,Manual,First,16.3,1797.0,147.5,5.0,nan
227.0,Volkswagen Polo Diesel Trendline 1.2L,Pune,2011.0,81000.0,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,nan
228.0,Toyota Etios Cross 1.2L G,Coimbatore,2015.0,46950.0,Petrol,Manual,First,17.71,1197.0,78.8,5.0,8.23
229.0,Hyundai Grand i10 Asta Option,Chennai,2017.0,18000.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,nan
230.0,Mahindra Scorpio S4 7 Seater,Coimbatore,2016.0,95942.0,Diesel,Manual,First,15.4,2179.0,120.0,7.0,nan
231.0,Maruti Ciaz VXi Plus,Kochi,2016.0,42925.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,nan
232.0,Ford Figo Petrol Titanium,Hyderabad,2014.0,33750.0,Petrol,Manual,First,15.6,1196.0,70.02,5.0,nan
233.0,Mini Cooper S,Mumbai,2016.0,14000.0,Petrol,Automatic,First,13.6,1598.0,181.0,4.0,nan
234.0,Hyundai Creta 1.6 CRDi SX,Bangalore,2015.0,29000.0,Diesel,Manual,First,19.67,1582.0,126.2,5.0,nan
235.0,Mahindra XUV500 W8 2WD,Kochi,2015.0,67365.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,nan
236.0,Mahindra XUV500 W8 2WD,Coimbatore,2014.0,67791.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,nan
237.0,Mahindra Thar CRDe AC,Hyderabad,2016.0,20000.0,Diesel,Manual,First,16.55,2498.0,105.0,6.0,nan
238.0,Maruti Swift Dzire VDi,Jaipur,2011.0,90198.0,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,nan
239.0,Hyundai i10 Sportz 1.1L,Pune,2010.0,77000.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,nan
240.0,Maruti Ciaz VXi,Kochi,2017.0,42520.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,nan
241.0,Maruti Wagon R LXI DUO BSIII,Jaipur,2009.0,87829.0,LPG,Manual,First,17.3,1061.0,57.5,5.0,nan
242.0,Maruti Baleno Delta CVT,Ahmedabad,2017.0,21701.0,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,8.57
243.0,Maruti Alto LX BSIII,Coimbatore,2008.0,86033.0,Petrol,Manual,First,19.7,796.0,46.3,5.0,nan
244.0,Hyundai Xcent 1.2 Kappa S Option,Mumbai,2015.0,25000.0,Petrol,Manual,First,19.1,1197.0,81.86,5.0,nan
245.0,Toyota Corolla Altis Diesel D4DG,Kolkata,2011.0,45000.0,Diesel,Manual,First,21.43,1364.0,87.2,5.0,nan
246.0,Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2018.0,22987.0,Petrol,Manual,First,16.47,1198.0,73.9,5.0,nan
247.0,Hyundai i10 Era,Jaipur,2009.0,48725.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,nan
248.0,Hyundai Grand i10 1.2 Kappa Sportz,Hyderabad,2013.0,42500.0,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7.19
249.0,Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,2014.0,35000.0,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,nan
250.0,Ford Fiesta 1.4 SXi TDCi ABS,Bangalore,2014.0,56000.0,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,nan
251.0,Tata Xenon XT EX 4X2,Hyderabad,2014.0,10000.0,Diesel,Manual,First,13.49,2179.0,138.03,5.0,nan
252.0,Maruti Alto K10 2010-2014 VXI,Mumbai,2010.0,15669.0,Petrol,Manual,First,20.92,998.0,67.1,5.0,nan
253.0,Audi A6 2011-2015 35 TDI Premium,Kochi,2016.0,55331.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,nan
254.0,Renault Duster 85PS Diesel RxL Optional,Pune,2015.0,44535.0,Diesel,Manual,First,20.46,1461.0,83.8,5.0,nan
255.0,Mahindra Thar 4X4,Delhi,2012.0,74000.0,Diesel,Manual,First,16.55,2498.0,105.0,7.0,nan
256.0,Toyota Innova 2.5 GX (Diesel) 7 Seater,Delhi,2014.0,77901.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,nan
257.0,Maruti Swift Dzire VXi,Kolkata,2010.0,58186.0,Petrol,Manual,First,17.5,1298.0,85.8,5.0,nan
258.0,Chevrolet Aveo 1.6 LT,Mumbai,2010.0,30000.0,Petrol,Manual,First,14.2,1598.0,102.0,5.0,nan
259.0,Toyota Etios GD,Bangalore,2012.0,90000.0,Diesel,Manual,First,23.59,1364.0,null bhp,5.0,nan
260.0,Jaguar XE Portfolio,Coimbatore,2018.0,14730.0,Petrol,Automatic,First,13.5,1999.0,246.74,5.0,56.98
261.0,Maruti Alto LXi,Jaipur,2013.0,40000.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,nan
262.0,Chevrolet Aveo U-VA 1.2 LS,Chennai,2007.0,88107.0,Petrol,Manual,Second,15.26,1150.0,74.9,5.0,nan
263.0,Volkswagen Vento 1.5 TDI Highline,Delhi,2012.0,53226.0,Diesel,Manual,Second,20.64,1498.0,108.5,5.0,14.13
264.0,Maruti Swift VDI BSIV,Hyderabad,2013.0,76000.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,nan
265.0,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2008.0,200000.0,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,nan
266.0,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Hyderabad,2013.0,73000.0,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,nan
267.0,Hyundai Accent GLE 1,Jaipur,2009.0,77200.0,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,nan
268.0,Audi A4 New 2.0 TDI Multitronic,Delhi,2012.0,67000.0,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,nan
269.0,Chevrolet Tavera LS B3 10 Seats BSIII,Hyderabad,2005.0,150000.0,Diesel,Manual,Second,14.8,2499.0,80.0,10.0,nan
270.0,Mahindra Xylo E8 ABS BS IV,Jaipur,2009.0,145278.0,Diesel,Manual,Second,11.68,2498.0,112.0,8.0,nan
271.0,Hyundai i20 Active SX Diesel,Chennai,2015.0,62083.0,Diesel,Manual,First,21.19,1396.0,88.76,5.0,11.48
272.0,Honda Civic 2006-2010 1.8 V MT,Pune,2010.0,61696.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,nan
273.0,Ford EcoSport 1.5 Diesel Titanium,Ahmedabad,2017.0,28000.0,Diesel,Manual,First,23.0,1498.0,98.96,5.0,11.2
274.0,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2013.0,50142.0,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,nan
275.0,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2014.0,45000.0,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,nan
276.0,Skoda Rapid 1.5 TDI Elegance,Pune,2014.0,97513.0,Diesel,Manual,First,21.14,1498.0,103.52,5.0,nan
277.0,Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Mumbai,2011.0,55000.0,Petrol,Automatic,Second,12.3,1796.0,185.0,5.0,nan
278.0,Maruti 800 AC,Hyderabad,2004.0,82000.0,Petrol,Manual,Second,16.1,796.0,37.0,4.0,nan
279.0,Maruti Swift LDI,Delhi,2013.0,71501.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,nan
280.0,Honda BR-V i-DTEC S MT,Hyderabad,2017.0,23000.0,Diesel,Manual,First,21.9,1498.0,98.6,7.0,14.13
281.0,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015.0,66095.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,nan
282.0,Toyota Fortuner 3.0 Diesel,Mumbai,2014.0,49500.0,Diesel,Manual,First,11.5,2982.0,171.0,7.0,nan
283.0,Toyota Camry MT with Moonroof,Chennai,2009.0,90000.0,Petrol,Manual,First,13.4,2362.0,164.7,5.0,nan
284.0,Maruti Ignis 1.2 Delta,Mumbai,2017.0,25384.0,Petrol,Manual,First,20.89,1197.0,81.8,5.0,6.41
285.0,Hyundai Verna 1.6 VTVT S,Delhi,2016.0,27529.0,Petrol,Manual,Second,17.01,1591.0,121.3,5.0,nan
286.0,Honda City V MT,Kochi,2012.0,69297.0,Petrol,Manual,First,16.8,1497.0,116.3,5.0,nan
287.0,Honda City 1.5 E MT,Hyderabad,2009.0,66000.0,Petrol,Manual,First,17.0,1497.0,118.0,5.0,nan
288.0,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2012.0,20000.0,Diesel,Manual,First,21.03,1461.0,65.0,5.0,9.12
289.0,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Chennai,2015.0,67000.0,Diesel,Automatic,First,11.3,2987.0,254.8,7.0,nan
290.0,Hyundai EON D Lite Plus,Coimbatore,2015.0,36933.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,nan
291.0,Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2007.0,194000.0,Diesel,Manual,First,12.99,2494.0,100.6,8.0,nan
292.0,Maruti Ertiga VDI,Kolkata,2013.0,42200.0,Diesel,Manual,First,20.77,1248.0,88.76,7.0,nan
293.0,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015.0,53093.0,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,nan
294.0,Honda City 1.5 E MT,Pune,2012.0,88000.0,Petrol,Manual,Third,17.0,1497.0,118.0,5.0,nan
295.0,Maruti Alto K10 LXI,Kochi,2017.0,42954.0,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.91
296.0,Tata Indica V2 eLX,Chennai,2015.0,106000.0,Diesel,Manual,First,25.0,1396.0,69.0,5.0,nan
297.0,BMW 5 Series 2013-2017 520d Luxury Line,Kochi,2015.0,41700.0,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,nan
298.0,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Coimbatore,2018.0,34464.0,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,nan
299.0,Chevrolet Beat LT,Ahmedabad,2010.0,15000.0,Petrol,Manual,First,17.8,1199.0,76.8,5.0,nan
300.0,Maruti Zen Estilo LXI BS IV,Pune,2010.0,70000.0,Petrol,Manual,Second,19.0,998.0,67.1,5.0,nan
301.0,Mahindra XUV500 W8 4WD,Hyderabad,2017.0,119256.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,nan
302.0,Honda City 1.5 V MT,Coimbatore,2011.0,50036.0,Petrol,Manual,First,17.0,1497.0,118.0,5.0,nan
303.0,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2013.0,58000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,nan
304.0,Hyundai i20 1.2 Magna,Pune,2011.0,75000.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,nan
305.0,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013.0,53313.0,Petrol,Manual,First,20.92,998.0,67.1,5.0,nan
306.0,Toyota Innova 2.5 G (Diesel) 8 Seater,Kolkata,2015.0,73000.0,Diesel,Manual,First,12.99,2494.0,100.6,8.0,nan
307.0,Nissan Micra Diesel XV,Kochi,2013.0,83989.0,Diesel,Manual,First,23.08,1461.0,63.1,5.0,nan
308.0,Hyundai Creta 1.6 CRDi SX,Chennai,2015.0,86247.0,Diesel,Manual,First,19.67,1582.0,126.2,5.0,nan
309.0,Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2016.0,24000.0,Diesel,Manual,First,12.99,2494.0,100.6,8.0,nan
310.0,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Hyderabad,2010.0,58000.0,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,nan
311.0,Hyundai i20 Asta 1.2,Kolkata,2015.0,33000.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,nan
312.0,Honda Accord VTi-L (AT),Hyderabad,2005.0,100000.0,Petrol,Automatic,First,11.1,2354.0,142.0,5.0,nan
313.0,Toyota Innova Crysta 2.4 ZX MT,Hyderabad,2017.0,65896.0,Diesel,Manual,First,13.68,2393.0,147.8,7.0,25.04
314.0,Hyundai i20 Asta Option 1.4 CRDi,Chennai,2016.0,120000.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,nan
315.0,Mahindra Verito Vibe 1.5 dCi D6,Mumbai,2013.0,26000.0,Diesel,Manual,First,20.8,1461.0,64.1,5.0,8.92
316.0,Maruti Eeco 5 Seater AC,Chennai,2012.0,62300.0,Petrol,Manual,Second,15.1,1196.0,73.0,5.0,5.01
317.0,Toyota Corolla Altis 1.8 G,Kochi,2012.0,77801.0,Petrol,Manual,First,14.28,1798.0,138.03,5.0,19.01
318.0,Toyota Corolla Altis VL AT,Mumbai,2015.0,42000.0,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,nan
319.0,Mercedes-Benz A Class A180 Sport,Bangalore,2013.0,35000.0,Petrol,Automatic,Second,15.5,1595.0,120.7,5.0,nan
320.0,Hyundai i20 Asta 1.4 CRDi,Kolkata,2016.0,30134.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,nan
321.0,Honda Accord 2.4 M/T,Delhi,2012.0,79038.0,Petrol,Manual,First,12.8,2354.0,177.6,5.0,nan
322.0,Honda Accord 2.4 AT,Mumbai,2009.0,80000.0,Petrol,Automatic,Second,11.7,2354.0,177.6,5.0,nan
323.0,Mahindra Bolero SLE BSIII,Hyderabad,2012.0,75000.0,Diesel,Manual,First,15.96,2523.0,62.1,7.0,nan
324.0,Maruti Ritz LDi,Bangalore,2010.0,80000.0,Diesel,Manual,First,21.1,1248.0,73.9,5.0,nan
325.0,Skoda Superb Elegance 1.8 TSI AT,Delhi,2014.0,84419.0,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,nan
326.0,Honda Amaze S i-Vtech,Kolkata,2013.0,70200.0,Petrol,Manual,First,18.0,1198.0,86.7,5.0,nan
327.0,Volkswagen Vento Petrol Highline,Chennai,2013.0,98000.0,Petrol,Manual,Second,15.04,1598.0,103.6,5.0,nan
328.0,Maruti Ritz LDi,Chennai,2016.0,131503.0,Diesel,Manual,First,23.2,1248.0,73.94,5.0,nan
329.0,Honda City 1.5 S MT,Jaipur,2011.0,54652.0,Petrol,Manual,First,17.0,1497.0,118.0,5.0,nan
330.0,Volkswagen Jetta 2007-2011 1.6 Trendline,Mumbai,2010.0,92000.0,Petrol,Manual,Second,14.0,1595.0,102.0,5.0,nan
331.0,Ford Figo Petrol ZXI,Kolkata,2010.0,44287.0,Petrol,Manual,First,15.6,1196.0,70.0,5.0,nan
332.0,Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015.0,205000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,nan
333.0,Hyundai Elite i20 Asta Option,Hyderabad,2015.0,48000.0,Petrol,Manual,First,18.6,1197.0,81.86,5.0,9.45
334.0,Mahindra KUV 100 mFALCON D75 K2,Mumbai,2016.0,18000.0,Diesel,Manual,First,25.32,1198.0,77.0,6.0,nan
335.0,Bentley Flying Spur W12,Bangalore,2008.0,31200.0,Petrol,Automatic,Second,10.2,5998.0,616.0,5.0,3.75 Cr
336.0,Honda City 1.5 V MT,Pune,2009.0,72000.0,Petrol,Manual,First,17.0,1497.0,118.0,5.0,nan
337.0,Hyundai i20 Magna,Mumbai,2009.0,85000.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,nan
338.0,Honda City 1.5 V MT,Kolkata,2010.0,27000.0,Petrol,Manual,First,17.0,1497.0,118.0,5.0,nan
339.0,Toyota Fortuner 2.8 2WD MT,Mumbai,2012.0,126000.0,Diesel,Manual,First,14.24,2755.0,174.5,7.0,35.16
340.0,Tata Indica V2 DLS BSIII,Pune,2017.0,50000.0,Diesel,Manual,First,17.88,1405.0,48.21,5.0,nan
341.0,Honda Amaze S i-Vtech,Mumbai,2013.0,58811.0,Petrol,Manual,Second,18.0,1198.0,86.7,5.0,nan
342.0,Volkswagen Polo Diesel Highline 1.2L,Pune,2013.0,52196.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,nan
343.0,Nissan Micra Active XV,Coimbatore,2017.0,45105.0,Petrol,Manual,First,19.69,1198.0,67.04,5.0,6.78
344.0,Hyundai Grand i10 Sportz,Hyderabad,2015.0,25160.0,Petrol,Manual,Second,18.9,1197.0,82.0,5.0,nan
345.0,Tata Tigor 1.2 Revotron XZ Option,Hyderabad,2017.0,18000.0,Petrol,Manual,First,20.3,1199.0,84.0,5.0,nan
346.0,Honda Accord 2001-2003 2.3 VTI L MT,Bangalore,2007.0,74000.0,Petrol,Manual,First,11.9,2354.0,144.0,5.0,nan
347.0,Mahindra Xylo E4,Chennai,2009.0,67700.0,Diesel,Manual,First,14.0,2498.0,112.0,7.0,nan
348.0,Land Rover Freelander 2 S Business Edition,Kochi,2015.0,61062.0,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,nan
349.0,Toyota Innova 2.5 VX (Diesel) 7 Seater,Kolkata,2016.0,105000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,nan
350.0,Tata Indigo eCS eLX BS IV,Pune,2013.0,155550.0,Diesel,Manual,First,25.0,1396.0,69.01,5.0,nan
351.0,Maruti Vitara Brezza VDi Option,Delhi,2016.0,66000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,nan
352.0,Honda City 1.5 V MT,Kochi,2012.0,93884.0,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,nan
353.0,Fiat Linea Emotion (Diesel),Mumbai,2009.0,200000.0,Diesel,Manual,First,20.4,1248.0,91.7,5.0,nan
354.0,Tata Tiago 1.2 Revotron XZ,Kolkata,2016.0,57200.0,Petrol,Manual,First,23.84,1199.0,84.0,5.0,6.24
355.0,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2013.0,93568.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,nan
356.0,Maruti Wagon R VXI BS IV,Kolkata,2014.0,54000.0,Petrol,Manual,First,20.51,998.0,67.04,5.0,nan
357.0,Hyundai Creta 1.6 CRDi AT SX Plus,Bangalore,2016.0,40571.0,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,nan
358.0,Audi A4 35 TDI Technology,Hyderabad,2015.0,59000.0,Diesel,Automatic,First,18.25,1968.0,187.74,5.0,55.61
359.0,BMW X1 xDrive 20d xLine,Coimbatore,2017.0,17273.0,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,nan
360.0,Ford Endeavour 3.0L AT 4x2,Mumbai,2011.0,100077.0,Diesel,Automatic,Second,11.4,2953.0,153.86,7.0,nan
361.0,Hyundai i10 Magna AT,Kochi,2011.0,39934.0,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,nan
362.0,Maruti Vitara Brezza LDi,Bangalore,2016.0,46000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.42
363.0,Honda City 1.5 V MT,Coimbatore,2016.0,30842.0,Petrol,Manual,First,17.0,1497.0,118.0,5.0,nan
364.0,Mercedes-Benz New C-Class 200 K AT,Mumbai,2005.0,65000.0,Petrol,Automatic,Second,11.7,1796.0,178.0,5.0,nan
365.0,Volvo XC90 2007-2015 D5 AWD,Bangalore,2016.0,70000.0,Diesel,Manual,First,11.1,2400.0,200.0,7.0,nan
366.0,Toyota Fortuner 3.0 Diesel,Chennai,2011.0,150152.0,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,nan
367.0,Nissan Teana 230jM,Coimbatore,2009.0,67038.0,Petrol,Automatic,First,9.1,2349.0,null bhp,5.0,nan
368.0,Hyundai Santro Xing GLS CNG,Bangalore,2011.0,43985.0,CNG,Manual,First,11.88,1086.0,62.1,5.0,nan
369.0,BMW X6 xDrive30d,Coimbatore,2014.0,58598.0,Diesel,Automatic,First,11.2,2993.0,241.0,4.0,nan
370.0,Tata Indigo CS eVX,Pune,2016.0,100000.0,Diesel,Manual,First,25.0,1396.0,69.01,5.0,nan
371.0,Audi Q5 30 TDI quattro Premium Plus,Jaipur,2016.0,35000.0,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,nan
372.0,Hyundai i10 Sportz 1.2,Pune,2008.0,84500.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,nan
373.0,Maruti Baleno Delta 1.2,Kolkata,2018.0,18006.0,Petrol,Manual,First,21.4,1197.0,83.1,5.0,nan
374.0,Maruti Swift VDI,Hyderabad,2013.0,99000.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8.44
375.0,Maruti Eeco 5 Seater AC,Delhi,2014.0,51200.0,Petrol,Manual,First,15.1,1196.0,73.0,5.0,4.56
376.0,Toyota Land Cruiser Prado VX L,Pune,2014.0,130000.0,Diesel,Automatic,First,11.0,2982.0,170.3,7.0,nan
377.0,Hyundai Tucson 2.0 e-VGT 4WD AT GLS,Ahmedabad,2017.0,25000.0,Diesel,Automatic,First,16.38,1995.0,182.46,5.0,29.9
378.0,Maruti Baleno Delta,Kochi,2017.0,32352.0,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.12
379.0,Hyundai i10 Sportz 1.2,Bangalore,2011.0,20000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,nan
380.0,Audi A4 2.0 TDI,Bangalore,2013.0,46000.0,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,nan
381.0,Maruti Dzire AMT ZXI Plus,Mumbai,2018.0,12500.0,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,9.94
382.0,Toyota Innova 2.5 GX 8 STR,Delhi,2011.0,53138.0,Diesel,Manual,Third,12.8,2494.0,102.0,8.0,nan
383.0,Maruti Swift Dzire Tour LDI,Pune,2013.0,170000.0,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,nan
384.0,Maruti Swift LDI,Kolkata,2012.0,38583.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,nan
385.0,Maruti Wagon R VXI AMT Opt,Hyderabad,2016.0,26000.0,Petrol,Automatic,First,22.5,998.0,67.0,5.0,6.44
386.0,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017.0,22865.0,Petrol,Manual,First,15.29,1591.0,121.3,5.0,nan
387.0,Skoda Laura L and K MT,Kolkata,2013.0,45000.0,Diesel,Manual,First,17.5,1896.0,106.0,5.0,nan
388.0,Maruti Swift LXI Option,Kochi,2017.0,62889.0,Petrol,Manual,First,20.4,1197.0,81.8,5.0,nan
389.0,Maruti Omni MPI CARGO BSIV,Pune,2013.0,153000.0,Petrol,Manual,First,16.8,796.0,34.2,5.0,nan
390.0,Maruti Swift VDI,Ahmedabad,2016.0,67000.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.67
391.0,Honda Amaze S AT i-Vtech,Mumbai,2014.0,39000.0,Petrol,Automatic,First,15.5,1198.0,86.7,5.0,nan
392.0,Toyota Corolla H2,Chennai,2006.0,164000.0,Petrol,Manual,Second,13.4,1794.0,125.0,5.0,nan
393.0,Maruti Swift Dzire Vdi BSIV,Coimbatore,2018.0,57178.0,Diesel,Manual,First,19.3,1248.0,73.9,5.0,nan
394.0,Audi A6 2011-2015 2.0 TDI Premium Plus,Delhi,2013.0,40000.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,nan
395.0,Chevrolet Spark 1.0 LT,Mumbai,2007.0,40000.0,Petrol,Manual,First,18.0,995.0,62.0,5.0,nan
396.0,Hyundai Verna CRDi ABS,Mumbai,2007.0,89564.0,Diesel,Manual,Third,18.1,1493.0,110.0,5.0,nan
397.0,Maruti Ertiga VXI,Delhi,2012.0,66727.0,Petrol,Manual,First,16.02,1373.0,93.7,7.0,nan
398.0,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Mumbai,2013.0,75000.0,Diesel,Automatic,Second,15.73,1968.0,174.33,5.0,nan
399.0,Chevrolet Cruze LTZ AT,Coimbatore,2017.0,31056.0,Diesel,Automatic,First,14.81,1998.0,163.7,5.0,nan
